missione;amministrazione_titolare;tipologia_intervento;misura;denominazione;trimestre;anno;stato_attuazione
M3C1;Ministero delle infrastrutture e della mobilità sostenibili (MIMS);Riforma;Riforma 1.1 - Accelerazion e dell'iter di approvazione del contratto tra MIMS e RFI;Entrata in vigore di una modifica legislativa sull'iter di approvazione dei Contratti di Programma (CdP);4;2021;in corso
M3C1;Ministero delle infrastrutture e della mobilità sostenibili (MIMS);Riforma;Riforma 1.2 – Accelerazion e dell'iter di approvazione dei progetti ferroviari;Entrata in vigore di una modifica normativa che riduca la durata dell'iter di autorizzazione dei progetti da 11 a 6 mesi.;4;2021;conseguito
M3C1;Ministero delle infrastrutture e della mobilità sostenibili (MIMS);Riforma;"Riforma 2.1 - Attuazione del recente ""Decreto Semplificazio ni"" (convertito nella legge 11 settembre 2020, n. 120) mediante l'emanazione di un decreto relativo all'attuazione di ""Linee guida per la classificazion e e gestione del rischio, la valutazione della sicurezza e il monitoraggio dei ponti esistenti""";"Entrata in vigore delle ""Linee guida per la classificazione e gestione del rischio, la valutazione della sicurezza e il monitoraggio dei ponti esistenti""";4;2021;in corso
M3C1;Ministero delle infrastrutture e della mobilità sostenibili (MIMS);Riforma;Riforma 2.2 – Trasferimento della titolarità di ponti e viadotti delle strade di secondo livello ai titolari delle strade di primo livello;Disposizione nell'atto giuridico pertinente relativa all'entrata in vigore del trasferimento della titolarità di ponti, viadotti e cavalcavia dalle strade di secondo livello a quelle di primo livello (autostrade e principali strade nazionali);4;2021;in corso
M1C3;Ministero del Turismo (MiTur);Investimento;Investimento 4.2 - Fondi integrati per la competitività delle imprese turistiche;Norma per la definizione della politica di investimento per il Fondo tematico della Banca europea per gli investimenti;4;2021;in corso
M1C3;Ministero del Turismo (MiTur);Investimento;Investimento 4.2 - Fondi integrati per la competitività delle imprese turistiche;Norma per la definizione della politica  di investimento per il Fondo nazionale del turismo;4;2021;in corso
M1C3;Ministero del Turismo (MiTur);Investimento;Investimento 4.2 - Fondi integrati per la competitività delle imprese turistiche;Norma per la definizione della politica  di investimento per il Fondo di garanzia per le PMI;4;2021;in corso
M1C3;Ministero del Turismo (MiTur);Investimento;Investimento 4.2 - Fondi integrati per la competitività delle imprese turistiche;Norma per la definizione della politica  di investimento per il Fondo rotativo;4;2021;in corso
M1C3;Ministero del Turismo (MiTur);Investimento;Investimento 4.2 - Fondi integrati per la competitività delle imprese turistiche;Entrata in vigore del decreto attuativo per il credito d'imposta per la riqualificazione delle strutture ricettive;4;2021;in corso
M2C4;Ministero della transizione ecologica (MITE);Riforma;Riforma 3.1: Adozione di programmi nazionali di controllo dell'inquinam ento atmosferico;Entrata in vigore di un programma nazionale di controllo dell'inquinamento atmosferico;4;2021;in corso
M2C4;PCM - Dip. Protezione civile;Investimento;Investimento 2.1.b - Misure per la gestione del rischio di alluvione e per la riduzione del rischio idrogeologico;Entrata in vigore del quadro giuridico rivisto per interventi contro i rischi di alluvione e idrogeologici;4;2021;in corso
M2C4;Ministero della transizione ecologica (MITE);Investimento;Investimento 3.1: Tutela e valorizzazion e del verde urbano ed extraurbano;Entrata in vigore delle modifiche legislative rivedute per la protezione e la valorizzazione delle aree verdi urbane ed extra urbane;4;2021;in corso
M4C1;Ministero dell'Università e della Ricerca (MUR);Riforma;Riforma 1.7: Riforma della legislazione sugli alloggi per studenti e investimenti negli alloggi per studenti;Entrata in vigore della legislazione volta a modificare le norme vigenti in materia di alloggi per studenti.;4;2021;in corso
M5C3;PCM - Ministro per il Sud e la coesione territoriale;Riforma;Riforma 1: Semplificazio ne delle procedure e rafforzamento dei poteri del Commissario nelle Zone Economiche Speciali;Entrata in vigore del regolamento per la semplificazione delle procedure e il rafforzamento del ruolo del Commissario nelle Zone Economiche Speciali;4;2021;conseguito
M5C3;Ministero delle infrastrutture e della mobilità sostenibili (MIMS) in collaborazione con PCM - Ministro per il Sud e la coesione territoriale;Investimento;Investimento 1.4 - Investimenti infrastruttural i per le Zone Economiche Speciali;Entrata in vigore dei decreti ministeriali di approvazione del piano operativo per tutte e otto le Zone Economiche Speciali;4;2021;in corso
M6C2;Ministero della Salute (MS);Investimento;Investimento 1.1: Ammoderna mento del parco tecnologico e digitale ospedaliero;Piano di riorganizzazione del parco tecnologico e digitale delle strutture ospedaliere approvato dal Ministero della Salute/Regioni italiane;4;2021;in corso
